Sample,Location,Effluent,Site,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,Nit.surf,Nit.deep,Car.surf,Car.deep,Flu,Chl,Bro,SO4,Ni,Cond,pH,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep,SEMAVS.surf,SEMAVS.deep,SEMAVSfOC.surf,SEMAVSfOC.deep,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,OL,HI,NE,TOT_AB,REL_EPH
WR1,Weir,Reference,1,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.42
WR2,Weir,Reference,2,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,12,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,0.15
WR3,Weir,Reference,3,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,10,84,11,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0.08
WR4,Weir,Reference,4,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,2,0,0,0,6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,64,5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,95,0
WR5,Weir,Reference,5,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,2,2,12,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.22
WR6,Weir,Reference,6,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,60,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,86,0.06
WR7,Weir,Reference,7,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,11,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,41,0.27
WR8,Weir,Reference,8,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,7,1,3,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,2,35,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0.05
WR9,Weir,Reference,9,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,42,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,58,0.03
WR10,Weir,Reference,10,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,1,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,61,0.18
